date_production,site,ligne_production,type_piece,ordre_fabrication,quantite_produite,quantite_conforme,quantite_non_conforme,temps_cycle_min,delai_prevu_jours,delai_reel_jours,statut_livraison,type_anomalie,gravite_anomalie,cout_non_qualite,operateur_equipe,shift,taux_disponibilite_machine,temperature_machine,vibration_machine,taux_conformite,taux_non_conformite,retard_livraison,mois_production,annee_mois,productivite_par_heure,ecart_delai_jours,presence_anomalie,anomalie_critique,anomalie_stats_temps_cycle_min,anomalie_stats_cout_non_qualite,anomalie_stats_temperature_machine,anomalie_stats_vibration_machine
2024-01-01,Montoir-de-Bretagne,Ligne Composite,Porte avion,OF-2024-009126,56,49,7,69.81,9,9,À l'heure,Défaut assemblage,Majeure,3279.63,Équipe Alpha,Matin,0.9855,69.19,2.55,0.875,0.125,False,2024-01,2024-01-01,42.114310270734855,0,True,False,False,False,False,False
2024-01-02,Casablanca,Ligne Assemblage Cabine,Panneau fuselage,OF-2024-000812,59,55,4,67.67,5,5,À l'heure,Non-conformité matière,Majeure,2004.66,Équipe Delta,Matin,0.9087,66.44,2.3,0.9322033898305084,0.06779661016949153,False,2024-01,2024-01-01,48.766070636914435,0,True,False,False,False,False,False
2024-01-02,Montoir-de-Bretagne,Ligne A330,Porte avion,OF-2025-009537,74,68,6,66.74,3,3,À l'heure,Contrôle qualité bloquant,Majeure,2662.67,Équipe Delta,Matin,0.8783,55.28,2.89,0.918918918918919,0.08108108108108109,False,2024-01,2024-01-01,61.132753970632315,0,True,False,False,False,False,False
2024-01-02,Casablanca,Ligne A320,Panneau fuselage,OF-2024-006866,42,40,2,45.77,9,11,En retard,Défaut dimensionnel,Majeure,897.21,Équipe Delta,Nuit,0.9231,64.14,2.19,0.9523809523809523,0.047619047619047616,True,2024-01,2024-01-01,52.43609351103343,2,True,False,False,False,False,False
2024-01-02,Casablanca,Ligne A320,Porte avion,OF-2024-009648,60,55,5,66.97,2,2,À l'heure,Défaut dimensionnel,Mineure,1539.94,Équipe Alpha,Matin,0.8377,67.31,2.62,0.9166666666666666,0.08333333333333333,False,2024-01,2024-01-01,49.27579513214872,0,True,False,False,False,False,False
2024-01-02,Montoir-de-Bretagne,Ligne Composite,Plancher cabine,OF-2025-005095,68,66,2,54.03,4,3,À l'heure,Panne machine,Critique,1569.85,Équipe Bravo,Après-midi,0.8482,64.78,2.36,0.9705882352941176,0.029411764705882353,False,2024-01,2024-01-01,73.29261521377013,-1,True,True,False,False,False,False
2024-01-02,Montoir-de-Bretagne,Ligne A330,Porte avion,OF-2024-010682,48,46,2,57.21,9,15,En retard,Défaut assemblage,Majeure,1113.25,Équipe Alpha,Après-midi,0.9644,73.38,3.09,0.9583333333333334,0.041666666666666664,True,2024-01,2024-01-01,48.243314105925535,6,True,False,False,False,False,False
2024-01-02,Casablanca,Ligne A350,Plancher cabine,OF-2024-004704,50,46,4,45.31,2,1,À l'heure,Retouche peinture,Mineure,1306.5,Équipe Delta,Matin,0.9553,66.34,2.4,0.92,0.08,False,2024-01,2024-01-01,60.91370558375635,-1,True,False,False,False,False,False
2024-01-02,Casablanca,Ligne A320,Plancher cabine,OF-2024-002932,72,70,2,50.52,8,13,En retard,Non-conformité matière,Mineure,676.33,Équipe Delta,Après-midi,0.9714,63.68,1.88,0.9722222222222222,0.027777777777777776,True,2024-01,2024-01-01,83.1353919239905,5,True,False,False,False,False,False
2024-01-02,Rochefort,Ligne Assemblage Cabine,Plancher cabine,OF-2024-002284,70,65,5,47.56,8,13,En retard,Défaut assemblage,Majeure,1896.14,Équipe Charlie,Après-midi,0.8666,58.86,3.01,0.9285714285714286,0.07142857142857142,True,2024-01,2024-01-01,82.00168208578637,5,True,False,False,False,False,False
2024-01-02,Casablanca,Ligne A320,Cadre structure,OF-2024-003936,50,50,0,31.45,10,14,En retard,Aucune,Aucune,0.0,Équipe Charlie,Matin,0.8966,76.71,1.85,1.0,0.0,True,2024-01,2024-01-01,95.38950715421304,4,False,False,False,False,False,False
2024-01-02,Montoir-de-Bretagne,Ligne A330,Panneau fuselage,OF-2025-008575,78,72,6,62.01,2,8,En retard,Non-conformité matière,Majeure,2052.8,Équipe Bravo,Matin,0.9323,58.38,2.01,0.9230769230769231,0.07692307692307693,True,2024-01,2024-01-01,69.66618287373005,6,True,False,False,False,False,False
2024-01-02,Rochefort,Ligne A320,Plancher cabine,OF-2024-002114,65,63,2,40.32,8,8,À l'heure,Retouche peinture,Majeure,827.33,Équipe Charlie,Nuit,0.9101,80.83,1.71,0.9692307692307692,0.03076923076923077,False,2024-01,2024-01-01,93.75,0,True,False,False,False,False,False
2024-01-02,Casablanca,Ligne A350,Porte avion,OF-2024-003322,62,58,4,82.72,7,6,À l'heure,Défaut dimensionnel,Majeure,1580.49,Équipe Bravo,Après-midi,0.8501,69.66,2.23,0.9354838709677419,0.06451612903225806,False,2024-01,2024-01-01,42.069632495164406,-1,True,False,False,False,False,False
2024-01-02,Casablanca,Ligne Composite,Cadre structure,OF-2024-010010,61,57,4,51.85,3,3,À l'heure,Non-conformité matière,Majeure,1722.67,Équipe Alpha,Après-midi,0.8856,76.12,3.18,0.9344262295081968,0.06557377049180328,False,2024-01,2024-01-01,65.95949855351977,0,True,False,False,False,False,False
2024-01-02,Montoir-de-Bretagne,Ligne A320,Porte avion,OF-2024-010474,67,66,1,65.48,4,4,À l'heure,Non-conformité matière,Majeure,771.35,Équipe Bravo,Matin,0.8964,81.77,3.63,0.9850746268656716,0.014925373134328358,False,2024-01,2024-01-01,60.476481368356744,0,True,False,False,False,False,False
2024-01-03,Casablanca,Ligne A350,Plancher cabine,OF-2024-000656,58,56,2,58.66,8,8,À l'heure,Défaut assemblage,Majeure,1067.37,Équipe Alpha,Matin,0.931,75.47,3.0,0.9655172413793104,0.034482758620689655,False,2024-01,2024-01-01,57.279236276849645,0,True,False,False,False,False,False
2024-01-03,Rochefort,Ligne A330,Sous-ensemble composite,OF-2025-010505,52,48,4,79.05,11,13,En retard,Défaut dimensionnel,Majeure,1663.62,Équipe Delta,Matin,0.7966,85.83,2.8,0.9230769230769231,0.07692307692307693,True,2024-01,2024-01-01,36.4326375711575,2,True,False,False,False,False,False
2024-01-03,Montoir-de-Bretagne,Ligne A330,Panneau fuselage,OF-2025-000073,65,61,4,64.53,9,13,En retard,Écart documentaire,Majeure,2012.68,Équipe Alpha,Après-midi,0.9432,66.71,1.88,0.9384615384615385,0.06153846153846154,True,2024-01,2024-01-01,56.71780567178056,4,True,False,False,False,False,False
2024-01-03,Casablanca,Ligne Assemblage Cabine,Plancher cabine,OF-2025-002119,60,56,4,50.31,3,4,En retard,Défaut dimensionnel,Mineure,1764.89,Équipe Alpha,Matin,0.9863,75.92,3.31,0.9333333333333333,0.06666666666666667,True,2024-01,2024-01-01,66.78592725104353,1,True,False,False,False,False,False
2024-01-03,Casablanca,Ligne A330,Sous-ensemble composite,OF-2024-008290,59,52,7,60.57,8,9,En retard,Défaut dimensionnel,Mineure,2313.59,Équipe Bravo,Matin,0.9848,65.43,2.33,0.8813559322033898,0.11864406779661017,True,2024-01,2024-01-01,51.51064883605745,1,True,False,False,False,False,False
2024-01-03,Casablanca,Ligne A330,Panneau fuselage,OF-2024-004048,59,58,1,62.68,7,7,À l'heure,Panne machine,Majeure,753.08,Équipe Delta,Nuit,0.8463,70.73,3.3,0.9830508474576272,0.01694915254237288,False,2024-01,2024-01-01,55.52010210593491,0,True,False,False,False,False,False
2024-01-03,Rochefort,Ligne A350,Panneau fuselage,OF-2024-010388,59,57,2,64.43,11,11,À l'heure,Défaut dimensionnel,Critique,1643.72,Équipe Charlie,Après-midi,0.9152,62.86,2.49,0.9661016949152542,0.03389830508474576,False,2024-01,2024-01-01,53.080862952040974,0,True,True,False,False,False,False
2024-01-03,Casablanca,Ligne A320,Porte avion,OF-2024-005164,82,79,3,66.26,3,3,À l'heure,Non-conformité matière,Mineure,645.4,Équipe Bravo,Après-midi,0.9775,59.63,2.22,0.9634146341463414,0.036585365853658534,False,2024-01,2024-01-01,71.53637186839723,0,True,False,False,False,False,False
2024-01-03,Casablanca,Ligne A350,Cadre structure,OF-2024-010320,37,35,2,42.91,9,9,À l'heure,Retouche peinture,Mineure,755.64,Équipe Alpha,Nuit,0.8911,68.94,2.89,0.9459459459459459,0.05405405405405406,False,2024-01,2024-01-01,48.939641109298535,0,True,False,False,False,False,False
2024-01-03,Casablanca,Ligne A350,Panneau fuselage,OF-2024-002100,50,44,6,58.53,6,6,À l'heure,Défaut dimensionnel,Mineure,2093.85,Équipe Bravo,Matin,0.8722,63.04,2.06,0.88,0.12,False,2024-01,2024-01-01,45.10507432086109,0,True,False,False,False,False,False
2024-01-03,Casablanca,Ligne Assemblage Cabine,Sous-ensemble composite,OF-2025-001251,74,62,12,40.85,8,8,À l'heure,Défaut assemblage,Mineure,2096.49,Équipe Bravo,Après-midi,0.9809,77.0,2.11,0.8378378378378378,0.16216216216216217,False,2024-01,2024-01-01,91.06487148102815,0,True,False,False,False,False,False
2024-01-03,Montoir-de-Bretagne,Ligne A330,Cadre structure,OF-2024-010166,51,47,4,48.11,6,6,À l'heure,Écart documentaire,Mineure,1227.82,Équipe Bravo,Matin,0.9355,69.58,1.87,0.9215686274509803,0.0784313725490196,False,2024-01,2024-01-01,58.61567241737685,0,True,False,False,False,False,False
2024-01-03,Rochefort,Ligne A330,Cadre structure,OF-2025-006747,52,45,7,44.88,9,9,À l'heure,Défaut assemblage,Critique,2989.38,Équipe Alpha,Nuit,0.8478,68.2,2.72,0.8653846153846154,0.1346153846153846,False,2024-01,2024-01-01,60.160427807486634,0,True,True,False,False,False,False
2024-01-04,Casablanca,Ligne A350,Porte avion,OF-2025-003817,63,56,7,71.89,5,5,À l'heure,Défaut dimensionnel,Mineure,1602.87,Équipe Bravo,Matin,0.8895,69.89,2.58,0.8888888888888888,0.1111111111111111,False,2024-01,2024-01-01,46.738072054527755,0,True,False,False,False,False,False
2024-01-04,Casablanca,Ligne Assemblage Cabine,Porte avion,OF-2024-004730,80,76,4,43.07,11,11,À l'heure,Défaut assemblage,Critique,1839.63,Équipe Charlie,Nuit,0.9152,79.66,2.5,0.95,0.05,False,2024-01,2024-01-01,105.87415834687718,0,True,True,False,False,False,False
2024-01-04,Casablanca,Ligne Composite,Sous-ensemble composite,OF-2025-001891,51,50,1,71.7,9,9,À l'heure,Défaut assemblage,Mineure,519.15,Équipe Alpha,Matin,0.9417,60.8,2.44,0.9803921568627451,0.0196078431372549,False,2024-01,2024-01-01,41.84100418410041,0,True,False,False,False,False,False
2024-01-04,Casablanca,Ligne Composite,Panneau fuselage,OF-2024-008992,47,43,4,56.28,2,2,À l'heure,Non-conformité matière,Majeure,1708.61,Équipe Charlie,Nuit,0.8568,61.9,2.2,0.9148936170212766,0.0851063829787234,False,2024-01,2024-01-01,45.84221748400853,0,True,False,False,False,False,False
2024-01-04,Casablanca,Ligne A350,Sous-ensemble composite,OF-2025-001209,68,62,6,52.41,9,14,En retard,Écart documentaire,Majeure,3281.8,Équipe Charlie,Matin,0.9036,75.02,2.23,0.9117647058823529,0.08823529411764706,True,2024-01,2024-01-01,70.97882083571838,5,True,False,False,False,False,False
2024-01-04,Rochefort,Ligne A320,Plancher cabine,OF-2024-008120,71,63,8,44.84,3,9,En retard,Non-conformité matière,Majeure,4002.78,Équipe Charlie,Nuit,0.947,74.38,1.38,0.8873239436619719,0.11267605633802817,True,2024-01,2024-01-01,84.29973238180196,6,True,False,False,True,False,False
2024-01-04,Montoir-de-Bretagne,Ligne Composite,Sous-ensemble composite,OF-2025-010495,65,59,6,73.86,10,10,À l'heure,Écart documentaire,Critique,2980.85,Équipe Charlie,Nuit,0.9801,78.73,3.0,0.9076923076923077,0.09230769230769231,False,2024-01,2024-01-01,47.928513403736794,0,True,True,False,False,False,False
2024-01-04,Montoir-de-Bretagne,Ligne A350,Sous-ensemble composite,OF-2024-006822,70,66,4,63.5,7,11,En retard,Défaut assemblage,Mineure,1301.64,Équipe Bravo,Matin,0.9494,58.13,2.5,0.9428571428571428,0.05714285714285714,True,2024-01,2024-01-01,62.362204724409445,4,True,False,False,False,False,False
2024-01-04,Casablanca,Ligne Assemblage Cabine,Sous-ensemble composite,OF-2024-005652,65,58,7,36.86,5,5,À l'heure,Panne machine,Majeure,2686.88,Équipe Alpha,Après-midi,0.6906,85.46,3.34,0.8923076923076924,0.1076923076923077,False,2024-01,2024-01-01,94.41128594682583,0,True,False,False,False,False,False
2024-01-04,Rochefort,Ligne Assemblage Cabine,Porte avion,OF-2025-008883,61,60,1,50.45,9,9,À l'heure,Retouche peinture,Majeure,771.12,Équipe Bravo,Après-midi,0.9449,68.63,2.19,0.9836065573770492,0.01639344262295082,False,2024-01,2024-01-01,71.35777998017839,0,True,False,False,False,False,False
2024-01-04,Casablanca,Ligne A350,Panneau fuselage,OF-2025-011965,90,90,0,60.8,2,2,À l'heure,Aucune,Aucune,0.0,Équipe Alpha,Après-midi,0.8997,68.63,2.2,1.0,0.0,False,2024-01,2024-01-01,88.81578947368422,0,False,False,False,False,False,False
2024-01-04,Rochefort,Ligne A330,Panneau fuselage,OF-2024-011670,81,79,2,47.62,8,10,En retard,Écart documentaire,Majeure,948.46,Équipe Delta,Matin,0.9752,63.75,0.91,0.9753086419753086,0.024691358024691357,True,2024-01,2024-01-01,99.53800923981521,2,True,False,False,False,False,False
2024-01-04,Casablanca,Ligne A330,Sous-ensemble composite,OF-2024-007220,47,44,3,68.69,9,9,À l'heure,Retouche peinture,Mineure,1161.26,Équipe Bravo,Nuit,0.9824,65.42,1.82,0.9361702127659575,0.06382978723404255,False,2024-01,2024-01-01,38.43354200029116,0,True,False,False,False,False,False
2024-01-04,Montoir-de-Bretagne,Ligne A320,Porte avion,OF-2025-007247,55,53,2,44.24,6,6,À l'heure,Retouche peinture,Mineure,711.54,Équipe Charlie,Nuit,0.995,63.95,2.92,0.9636363636363636,0.03636363636363636,False,2024-01,2024-01-01,71.88065099457503,0,True,False,False,False,False,False
2024-01-04,Montoir-de-Bretagne,Ligne A350,Panneau fuselage,OF-2024-004564,49,47,2,48.77,5,5,À l'heure,Contrôle qualité bloquant,Majeure,892.24,Équipe Delta,Nuit,0.8862,68.99,2.04,0.9591836734693877,0.04081632653061224,False,2024-01,2024-01-01,57.82243182284191,0,True,False,False,False,False,False
2024-01-04,Casablanca,Ligne A350,Cadre structure,OF-2025-006243,63,57,6,58.46,10,9,À l'heure,Défaut assemblage,Mineure,1380.11,Équipe Charlie,Nuit,0.919,64.06,2.46,0.9047619047619048,0.09523809523809523,False,2024-01,2024-01-01,58.50153951419774,-1,True,False,False,False,False,False
2024-01-04,Casablanca,Ligne Composite,Plancher cabine,OF-2025-001287,56,54,2,49.01,10,10,À l'heure,Retouche peinture,Majeure,1136.22,Équipe Delta,Matin,0.9741,72.64,2.38,0.9642857142857143,0.03571428571428571,False,2024-01,2024-01-01,66.1089573556417,0,True,False,False,False,False,False
2024-01-04,Casablanca,Ligne A330,Porte avion,OF-2024-005776,82,77,5,74.78,10,10,À l'heure,Retouche peinture,Majeure,2279.37,Équipe Charlie,Nuit,0.6982,79.5,2.22,0.9390243902439024,0.06097560975609756,False,2024-01,2024-01-01,61.781224926450925,0,True,False,False,False,False,False
2024-01-04,Casablanca,Ligne Assemblage Cabine,Sous-ensemble composite,OF-2025-008193,56,52,4,57.72,10,15,En retard,Non-conformité matière,Majeure,1886.77,Équipe Alpha,Matin,0.977,69.47,2.03,0.9285714285714286,0.07142857142857142,True,2024-01,2024-01-01,54.054054054054056,5,True,False,False,False,False,False
2024-01-05,Montoir-de-Bretagne,Ligne A330,Porte avion,OF-2025-006495,51,45,6,72.99,9,15,En retard,Non-conformité matière,Majeure,1627.98,Équipe Charlie,Après-midi,0.9082,71.67,2.14,0.8823529411764706,0.11764705882352941,True,2024-01,2024-01-01,36.99136868064119,6,True,False,False,False,False,False
2024-01-05,Casablanca,Ligne A330,Panneau fuselage,OF-2025-003419,71,67,4,50.3,2,2,À l'heure,Défaut dimensionnel,Mineure,809.27,Équipe Alpha,Matin,0.9111,71.54,2.76,0.9436619718309859,0.056338028169014086,False,2024-01,2024-01-01,79.92047713717695,0,True,False,False,False,False,False
2024-01-05,Rochefort,Ligne A330,Panneau fuselage,OF-2025-010381,49,45,4,49.22,4,4,À l'heure,Retouche peinture,Majeure,1499.78,Équipe Bravo,Nuit,0.9671,82.2,3.12,0.9183673469387755,0.08163265306122448,False,2024-01,2024-01-01,54.855749695245834,0,True,False,False,False,False,False
2024-01-05,Casablanca,Ligne A320,Cadre structure,OF-2025-006497,66,61,5,38.45,6,12,En retard,Contrôle qualité bloquant,Critique,1900.26,Équipe Alpha,Nuit,0.8848,72.98,0.96,0.9242424242424242,0.07575757575757576,True,2024-01,2024-01-01,95.18855656697009,6,True,True,False,False,False,False
2024-01-05,Casablanca,Ligne A350,Plancher cabine,OF-2025-011941,59,59,0,46.33,8,8,À l'heure,Aucune,Aucune,0.0,Équipe Alpha,Nuit,0.9005,76.22,2.62,1.0,0.0,False,2024-01,2024-01-01,76.40837470321605,0,False,False,False,False,False,False
2024-01-05,Montoir-de-Bretagne,Ligne Composite,Plancher cabine,OF-2025-008217,55,52,3,48.09,8,8,À l'heure,Écart documentaire,Majeure,1401.5,Équipe Delta,Matin,0.9499,63.72,2.63,0.9454545454545454,0.05454545454545454,False,2024-01,2024-01-01,64.87835308796006,0,True,False,False,False,False,False
2024-01-05,Casablanca,Ligne Assemblage Cabine,Porte avion,OF-2025-000899,69,67,2,43.01,9,9,À l'heure,Défaut assemblage,Majeure,1062.89,Équipe Delta,Nuit,0.8679,68.89,1.88,0.9710144927536232,0.028985507246376812,False,2024-01,2024-01-01,93.46663566612416,0,True,False,False,False,False,False
2024-01-05,Casablanca,Ligne Assemblage Cabine,Porte avion,OF-2025-006545,55,45,10,45.87,8,8,À l'heure,Défaut assemblage,Mineure,3102.9,Équipe Alpha,Matin,0.9637,60.41,2.81,0.8181818181818182,0.18181818181818182,False,2024-01,2024-01-01,58.862001308044476,0,True,False,False,False,False,False
2024-01-05,Rochefort,Ligne A320,Plancher cabine,OF-2024-010698,71,70,1,33.77,6,8,En retard,Panne machine,Majeure,678.14,Équipe Alpha,Après-midi,0.8116,73.07,3.47,0.9859154929577465,0.014084507042253521,True,2024-01,2024-01-01,124.37074326325138,2,True,False,False,False,False,False
2024-01-05,Casablanca,Ligne A350,Porte avion,OF-2024-006998,59,56,3,74.39,5,5,À l'heure,Défaut dimensionnel,Majeure,1145.88,Équipe Delta,Nuit,0.871,64.67,1.5,0.9491525423728814,0.05084745762711865,False,2024-01,2024-01-01,45.16736120446296,0,True,False,False,False,False,False
2024-01-05,Casablanca,Ligne Assemblage Cabine,Panneau fuselage,OF-2024-006672,70,64,6,52.76,10,14,En retard,Contrôle qualité bloquant,Majeure,1790.46,Équipe Delta,Nuit,0.8929,62.33,2.67,0.9142857142857143,0.08571428571428572,True,2024-01,2024-01-01,72.78241091736164,4,True,False,False,False,False,False
2024-01-05,Casablanca,Ligne Composite,Sous-ensemble composite,OF-2025-000523,63,57,6,60.21,11,16,En retard,Défaut dimensionnel,Mineure,1774.62,Équipe Bravo,Matin,0.9161,68.91,3.0,0.9047619047619048,0.09523809523809523,True,2024-01,2024-01-01,56.80119581464873,5,True,False,False,False,False,False
2024-01-05,Casablanca,Ligne A330,Porte avion,OF-2025-007315,62,61,1,53.48,5,5,À l'heure,Non-conformité matière,Mineure,542.99,Équipe Bravo,Après-midi,0.898,72.37,1.61,0.9838709677419355,0.016129032258064516,False,2024-01,2024-01-01,68.43679880329096,0,True,False,False,False,False,False
2024-01-05,Casablanca,Ligne A320,Cadre structure,OF-2025-010209,71,69,2,50.74,5,7,En retard,Défaut assemblage,Mineure,676.94,Équipe Bravo,Après-midi,0.8935,69.25,2.02,0.971830985915493,0.028169014084507043,True,2024-01,2024-01-01,81.59243200630667,2,True,False,False,False,False,False
2024-01-05,Rochefort,Ligne A330,Plancher cabine,OF-2024-005262,62,60,2,34.35,3,3,À l'heure,Retouche peinture,Majeure,1153.18,Équipe Alpha,Matin,0.995,73.67,2.86,0.967741935483871,0.03225806451612903,False,2024-01,2024-01-01,104.80349344978166,0,True,False,False,False,False,False
2024-01-05,Casablanca,Ligne Assemblage Cabine,Sous-ensemble composite,OF-2025-002637,67,64,3,45.58,5,5,À l'heure,Écart documentaire,Majeure,1477.41,Équipe Charlie,Nuit,0.9866,69.22,2.5,0.9552238805970149,0.04477611940298507,False,2024-01,2024-01-01,84.24747696358052,0,True,False,False,False,False,False
2024-01-05,Casablanca,Ligne A350,Panneau fuselage,OF-2024-001762,63,59,4,60.27,9,8,À l'heure,Non-conformité matière,Mineure,715.68,Équipe Alpha,Matin,0.8726,68.89,2.78,0.9365079365079365,0.06349206349206349,False,2024-01,2024-01-01,58.73568939771031,-1,True,False,False,False,False,False
2024-01-05,Rochefort,Ligne A320,Cadre structure,OF-2025-002893,68,60,8,44.36,2,2,À l'heure,Retouche peinture,Critique,3019.57,Équipe Bravo,Nuit,0.9622,69.67,2.74,0.8823529411764706,0.11764705882352941,False,2024-01,2024-01-01,81.15419296663661,0,True,True,False,False,False,False
2024-01-05,Rochefort,Ligne Composite,Plancher cabine,OF-2025-001307,55,52,3,35.94,2,2,À l'heure,Défaut assemblage,Mineure,932.57,Équipe Alpha,Nuit,0.9189,71.87,2.39,0.9454545454545454,0.05454545454545454,False,2024-01,2024-01-01,86.81135225375627,0,True,False,False,False,False,False
2024-01-05,Rochefort,Ligne A350,Plancher cabine,OF-2025-006793,67,67,0,44.34,10,10,À l'heure,Aucune,Aucune,0.0,Équipe Alpha,Après-midi,0.8859,80.79,2.23,1.0,0.0,False,2024-01,2024-01-01,90.66305818673882,0,False,False,False,False,False,False
2024-01-05,Rochefort,Ligne A330,Sous-ensemble composite,OF-2024-003400,53,53,0,55.04,5,5,À l'heure,Aucune,Aucune,0.0,Équipe Charlie,Après-midi,0.9275,71.91,2.32,1.0,0.0,False,2024-01,2024-01-01,57.776162790697676,0,False,False,False,False,False,False
2024-01-05,Casablanca,Ligne A330,Cadre structure,OF-2025-005913,62,61,1,40.51,3,2,À l'heure,Défaut dimensionnel,Majeure,706.74,Équipe Delta,Après-midi,0.9856,62.16,2.48,0.9838709677419355,0.016129032258064516,False,2024-01,2024-01-01,90.34806220686251,-1,True,False,False,False,False,False
2024-01-05,Casablanca,Ligne A330,Porte avion,OF-2025-011127,73,71,2,39.17,2,1,À l'heure,Défaut dimensionnel,Mineure,789.4,Équipe Charlie,Après-midi,0.9031,72.16,3.16,0.9726027397260274,0.0273972602739726,False,2024-01,2024-01-01,108.75670155731426,-1,True,False,False,False,False,False
2024-01-05,Casablanca,Ligne A350,Sous-ensemble composite,OF-2024-005238,71,64,7,60.16,7,7,À l'heure,Contrôle qualité bloquant,Majeure,2335.17,Équipe Charlie,Après-midi,0.9059,66.37,2.77,0.9014084507042254,0.09859154929577464,False,2024-01,2024-01-01,63.829787234042556,0,True,False,False,False,False,False
2024-01-05,Casablanca,Ligne Composite,Porte avion,OF-2025-004761,62,55,7,86.09,2,2,À l'heure,Contrôle qualité bloquant,Majeure,2222.23,Équipe Charlie,Matin,0.9158,73.49,1.82,0.8870967741935484,0.11290322580645161,False,2024-01,2024-01-01,38.3319781623882,0,True,False,False,False,False,False
2024-01-05,Casablanca,Ligne A320,Panneau fuselage,OF-2025-005077,67,61,6,45.24,8,8,À l'heure,Défaut dimensionnel,Mineure,1941.57,Équipe Bravo,Matin,0.8914,73.26,1.88,0.9104477611940298,0.08955223880597014,False,2024-01,2024-01-01,80.90185676392574,0,True,False,False,False,False,False
2024-01-06,Montoir-de-Bretagne,Ligne A330,Porte avion,OF-2024-006114,50,47,3,53.06,3,2,À l'heure,Retouche peinture,Mineure,896.14,Équipe Alpha,Matin,0.9124,69.75,1.96,0.94,0.06,False,2024-01,2024-01-01,53.147380324161325,-1,True,False,False,False,False,False
