date_production,site,ligne_production,type_piece,ordre_fabrication,quantite_produite,quantite_conforme,quantite_non_conforme,temps_cycle_min,delai_prevu_jours,delai_reel_jours,statut_livraison,type_anomalie,gravite_anomalie,cout_non_qualite,operateur_equipe,shift,taux_disponibilite_machine,temperature_machine,vibration_machine
2024-01-01,Montoir-de-Bretagne,Ligne Composite,Porte avion,OF-2024-009126,56,49,7,69.81,9,9,À l'heure,Défaut assemblage,Majeure,3279.63,Équipe Alpha,Matin,0.9855,69.19,2.55
2024-01-02,Casablanca,Ligne Assemblage Cabine,Panneau fuselage,OF-2024-000812,59,55,4,67.67,5,5,À l'heure,Non-conformité matière,Majeure,2004.66,Équipe Delta,Matin,0.9087,66.44,2.3
2024-01-02,Montoir-de-Bretagne,Ligne A330,Porte avion,OF-2025-009537,74,68,6,66.74,3,3,À l'heure,Contrôle qualité bloquant,Majeure,2662.67,Équipe Delta,Matin,0.8783,55.28,2.89
2024-01-02,Casablanca,Ligne A320,Panneau fuselage,OF-2024-006866,42,40,2,45.77,9,11,En retard,Défaut dimensionnel,Majeure,897.21,Équipe Delta,Nuit,0.9231,64.14,2.19
2024-01-02,Casablanca,Ligne A320,Porte avion,OF-2024-009648,60,55,5,66.97,2,2,À l'heure,Défaut dimensionnel,Mineure,1539.94,Équipe Alpha,Matin,0.8377,67.31,2.62
2024-01-02,Montoir-de-Bretagne,Ligne Composite,Plancher cabine,OF-2025-005095,68,66,2,54.03,4,3,À l'heure,Panne machine,Critique,1569.85,Équipe Bravo,Après-midi,0.8482,64.78,2.36
2024-01-02,Montoir-de-Bretagne,Ligne A330,Porte avion,OF-2024-010682,48,46,2,57.21,9,15,En retard,Défaut assemblage,Majeure,1113.25,Équipe Alpha,Après-midi,0.9644,73.38,3.09
2024-01-02,Casablanca,Ligne A350,Plancher cabine,OF-2024-004704,50,46,4,45.31,2,1,À l'heure,Retouche peinture,Mineure,1306.5,Équipe Delta,Matin,0.9553,66.34,2.4
2024-01-02,Casablanca,Ligne A320,Plancher cabine,OF-2024-002932,72,70,2,50.52,8,13,En retard,Non-conformité matière,Mineure,676.33,Équipe Delta,Après-midi,0.9714,63.68,1.88
2024-01-02,Rochefort,Ligne Assemblage Cabine,Plancher cabine,OF-2024-002284,70,65,5,47.56,8,13,En retard,Défaut assemblage,Majeure,1896.14,Équipe Charlie,Après-midi,0.8666,58.86,3.01
2024-01-02,Casablanca,Ligne A320,Cadre structure,OF-2024-003936,50,50,0,31.45,10,14,En retard,Aucune,Aucune,0.0,Équipe Charlie,Matin,0.8966,76.71,1.85
2024-01-02,Montoir-de-Bretagne,Ligne A330,Panneau fuselage,OF-2025-008575,78,72,6,62.01,2,8,En retard,Non-conformité matière,Majeure,2052.8,Équipe Bravo,Matin,0.9323,58.38,2.01
2024-01-02,Rochefort,Ligne A320,Plancher cabine,OF-2024-002114,65,63,2,40.32,8,8,À l'heure,Retouche peinture,Majeure,827.33,Équipe Charlie,Nuit,0.9101,80.83,1.71
2024-01-02,Casablanca,Ligne A350,Porte avion,OF-2024-003322,62,58,4,82.72,7,6,À l'heure,Défaut dimensionnel,Majeure,1580.49,Équipe Bravo,Après-midi,0.8501,69.66,2.23
2024-01-02,Casablanca,Ligne Composite,Cadre structure,OF-2024-010010,61,57,4,51.85,3,3,À l'heure,Non-conformité matière,Majeure,1722.67,Équipe Alpha,Après-midi,0.8856,76.12,3.18
2024-01-02,Montoir-de-Bretagne,Ligne A320,Porte avion,OF-2024-010474,67,66,1,65.48,4,4,À l'heure,Non-conformité matière,Majeure,771.35,Équipe Bravo,Matin,0.8964,81.77,3.63
2024-01-03,Casablanca,Ligne A350,Plancher cabine,OF-2024-000656,58,56,2,58.66,8,8,À l'heure,Défaut assemblage,Majeure,1067.37,Équipe Alpha,Matin,0.931,75.47,3.0
2024-01-03,Rochefort,Ligne A330,Sous-ensemble composite,OF-2025-010505,52,48,4,79.05,11,13,En retard,Défaut dimensionnel,Majeure,1663.62,Équipe Delta,Matin,0.7966,85.83,2.8
2024-01-03,Montoir-de-Bretagne,Ligne A330,Panneau fuselage,OF-2025-000073,65,61,4,64.53,9,13,En retard,Écart documentaire,Majeure,2012.68,Équipe Alpha,Après-midi,0.9432,66.71,1.88
2024-01-03,Casablanca,Ligne Assemblage Cabine,Plancher cabine,OF-2025-002119,60,56,4,50.31,3,4,En retard,Défaut dimensionnel,Mineure,1764.89,Équipe Alpha,Matin,0.9863,75.92,3.31
2024-01-03,Casablanca,Ligne A330,Sous-ensemble composite,OF-2024-008290,59,52,7,60.57,8,9,En retard,Défaut dimensionnel,Mineure,2313.59,Équipe Bravo,Matin,0.9848,65.43,2.33
2024-01-03,Casablanca,Ligne A330,Panneau fuselage,OF-2024-004048,59,58,1,62.68,7,7,À l'heure,Panne machine,Majeure,753.08,Équipe Delta,Nuit,0.8463,70.73,3.3
2024-01-03,Rochefort,Ligne A350,Panneau fuselage,OF-2024-010388,59,57,2,64.43,11,11,À l'heure,Défaut dimensionnel,Critique,1643.72,Équipe Charlie,Après-midi,0.9152,62.86,2.49
2024-01-03,Casablanca,Ligne A320,Porte avion,OF-2024-005164,82,79,3,66.26,3,3,À l'heure,Non-conformité matière,Mineure,645.4,Équipe Bravo,Après-midi,0.9775,59.63,2.22
2024-01-03,Casablanca,Ligne A350,Cadre structure,OF-2024-010320,37,35,2,42.91,9,9,À l'heure,Retouche peinture,Mineure,755.64,Équipe Alpha,Nuit,0.8911,68.94,2.89
2024-01-03,Casablanca,Ligne A350,Panneau fuselage,OF-2024-002100,50,44,6,58.53,6,6,À l'heure,Défaut dimensionnel,Mineure,2093.85,Équipe Bravo,Matin,0.8722,63.04,2.06
2024-01-03,Casablanca,Ligne Assemblage Cabine,Sous-ensemble composite,OF-2025-001251,74,62,12,40.85,8,8,À l'heure,Défaut assemblage,Mineure,2096.49,Équipe Bravo,Après-midi,0.9809,77.0,2.11
2024-01-03,Montoir-de-Bretagne,Ligne A330,Cadre structure,OF-2024-010166,51,47,4,48.11,6,6,À l'heure,Écart documentaire,Mineure,1227.82,Équipe Bravo,Matin,0.9355,69.58,1.87
2024-01-03,Rochefort,Ligne A330,Cadre structure,OF-2025-006747,52,45,7,44.88,9,9,À l'heure,Défaut assemblage,Critique,2989.38,Équipe Alpha,Nuit,0.8478,68.2,2.72
2024-01-04,Casablanca,Ligne A350,Porte avion,OF-2025-003817,63,56,7,71.89,5,5,À l'heure,Défaut dimensionnel,Mineure,1602.87,Équipe Bravo,Matin,0.8895,69.89,2.58
2024-01-04,Casablanca,Ligne Assemblage Cabine,Porte avion,OF-2024-004730,80,76,4,43.07,11,11,À l'heure,Défaut assemblage,Critique,1839.63,Équipe Charlie,Nuit,0.9152,79.66,2.5
2024-01-04,Casablanca,Ligne Composite,Sous-ensemble composite,OF-2025-001891,51,50,1,71.7,9,9,À l'heure,Défaut assemblage,Mineure,519.15,Équipe Alpha,Matin,0.9417,60.8,2.44
2024-01-04,Casablanca,Ligne Composite,Panneau fuselage,OF-2024-008992,47,43,4,56.28,2,2,À l'heure,Non-conformité matière,Majeure,1708.61,Équipe Charlie,Nuit,0.8568,61.9,2.2
2024-01-04,Casablanca,Ligne A350,Sous-ensemble composite,OF-2025-001209,68,62,6,52.41,9,14,En retard,Écart documentaire,Majeure,3281.8,Équipe Charlie,Matin,0.9036,75.02,2.23
2024-01-04,Rochefort,Ligne A320,Plancher cabine,OF-2024-008120,71,63,8,44.84,3,9,En retard,Non-conformité matière,Majeure,4002.78,Équipe Charlie,Nuit,0.947,74.38,1.38
2024-01-04,Montoir-de-Bretagne,Ligne Composite,Sous-ensemble composite,OF-2025-010495,65,59,6,73.86,10,10,À l'heure,Écart documentaire,Critique,2980.85,Équipe Charlie,Nuit,0.9801,78.73,3.0
2024-01-04,Montoir-de-Bretagne,Ligne A350,Sous-ensemble composite,OF-2024-006822,70,66,4,63.5,7,11,En retard,Défaut assemblage,Mineure,1301.64,Équipe Bravo,Matin,0.9494,58.13,2.5
2024-01-04,Casablanca,Ligne Assemblage Cabine,Sous-ensemble composite,OF-2024-005652,65,58,7,36.86,5,5,À l'heure,Panne machine,Majeure,2686.88,Équipe Alpha,Après-midi,0.6906,85.46,3.34
2024-01-04,Rochefort,Ligne Assemblage Cabine,Porte avion,OF-2025-008883,61,60,1,50.45,9,9,À l'heure,Retouche peinture,Majeure,771.12,Équipe Bravo,Après-midi,0.9449,68.63,2.19
2024-01-04,Casablanca,Ligne A350,Panneau fuselage,OF-2025-011965,90,90,0,60.8,2,2,À l'heure,Aucune,Aucune,0.0,Équipe Alpha,Après-midi,0.8997,68.63,2.2
2024-01-04,Rochefort,Ligne A330,Panneau fuselage,OF-2024-011670,81,79,2,47.62,8,10,En retard,Écart documentaire,Majeure,948.46,Équipe Delta,Matin,0.9752,63.75,0.91
2024-01-04,Casablanca,Ligne A330,Sous-ensemble composite,OF-2024-007220,47,44,3,68.69,9,9,À l'heure,Retouche peinture,Mineure,1161.26,Équipe Bravo,Nuit,0.9824,65.42,1.82
2024-01-04,Montoir-de-Bretagne,Ligne A320,Porte avion,OF-2025-007247,55,53,2,44.24,6,6,À l'heure,Retouche peinture,Mineure,711.54,Équipe Charlie,Nuit,0.995,63.95,2.92
2024-01-04,Montoir-de-Bretagne,Ligne A350,Panneau fuselage,OF-2024-004564,49,47,2,48.77,5,5,À l'heure,Contrôle qualité bloquant,Majeure,892.24,Équipe Delta,Nuit,0.8862,68.99,2.04
2024-01-04,Casablanca,Ligne A350,Cadre structure,OF-2025-006243,63,57,6,58.46,10,9,À l'heure,Défaut assemblage,Mineure,1380.11,Équipe Charlie,Nuit,0.919,64.06,2.46
2024-01-04,Casablanca,Ligne Composite,Plancher cabine,OF-2025-001287,56,54,2,,10,10,À l'heure,Retouche peinture,Majeure,1136.22,Équipe Delta,Matin,0.9741,72.64,2.38
2024-01-04,Casablanca,Ligne A330,Porte avion,OF-2024-005776,82,77,5,74.78,10,10,À l'heure,Retouche peinture,Majeure,2279.37,Équipe Charlie,Nuit,0.6982,79.5,2.22
2024-01-04,Casablanca,Ligne Assemblage Cabine,Sous-ensemble composite,OF-2025-008193,56,52,4,57.72,10,15,En retard,Non-conformité matière,Majeure,1886.77,Équipe Alpha,Matin,0.977,69.47,2.03
2024-01-05,Montoir-de-Bretagne,Ligne A330,Porte avion,OF-2025-006495,51,45,6,72.99,9,15,En retard,Non-conformité matière,Majeure,1627.98,Équipe Charlie,Après-midi,0.9082,71.67,2.14
2024-01-05,Casablanca,Ligne A330,Panneau fuselage,OF-2025-003419,71,67,4,50.3,2,2,À l'heure,Défaut dimensionnel,Mineure,809.27,Équipe Alpha,Matin,0.9111,71.54,2.76
2024-01-05,Rochefort,Ligne A330,Panneau fuselage,OF-2025-010381,49,45,4,49.22,4,4,À l'heure,Retouche peinture,Majeure,1499.78,Équipe Bravo,Nuit,0.9671,82.2,3.12
2024-01-05,Casablanca,Ligne A320,Cadre structure,OF-2025-006497,66,61,5,38.45,6,12,En retard,Contrôle qualité bloquant,Critique,1900.26,Équipe Alpha,Nuit,0.8848,72.98,0.96
2024-01-05,Casablanca,Ligne A350,Plancher cabine,OF-2025-011941,59,59,0,46.33,8,8,À l'heure,Aucune,Aucune,0.0,Équipe Alpha,Nuit,0.9005,76.22,2.62
2024-01-05,Montoir-de-Bretagne,Ligne Composite,Plancher cabine,OF-2025-008217,55,52,3,48.09,8,8,À l'heure,Écart documentaire,Majeure,1401.5,Équipe Delta,Matin,0.9499,63.72,2.63
2024-01-05,Casablanca,Ligne Assemblage Cabine,Porte avion,OF-2025-000899,69,67,2,43.01,9,9,À l'heure,Défaut assemblage,Majeure,1062.89,Équipe Delta,Nuit,0.8679,68.89,1.88
2024-01-05,Casablanca,Ligne Assemblage Cabine,Porte avion,OF-2025-006545,55,45,10,45.87,8,8,À l'heure,Défaut assemblage,Mineure,3102.9,Équipe Alpha,Matin,0.9637,60.41,2.81
2024-01-05,Rochefort,Ligne A320,Plancher cabine,OF-2024-010698,71,70,1,33.77,6,8,En retard,Panne machine,Majeure,678.14,Équipe Alpha,Après-midi,0.8116,73.07,3.47
2024-01-05,Casablanca,Ligne A350,Porte avion,OF-2024-006998,59,56,3,74.39,5,5,À l'heure,Défaut dimensionnel,Majeure,1145.88,Équipe Delta,Nuit,0.871,64.67,1.5
2024-01-05,Casablanca,Ligne Assemblage Cabine,Panneau fuselage,OF-2024-006672,70,64,6,52.76,10,14,En retard,Contrôle qualité bloquant,Majeure,1790.46,Équipe Delta,Nuit,0.8929,62.33,2.67
2024-01-05,Casablanca,Ligne Composite,Sous-ensemble composite,OF-2025-000523,63,57,6,60.21,11,16,En retard,Défaut dimensionnel,Mineure,1774.62,Équipe Bravo,Matin,0.9161,68.91,3.0
2024-01-05,Casablanca,Ligne A330,Porte avion,OF-2025-007315,62,61,1,53.48,5,5,À l'heure,Non-conformité matière,Mineure,542.99,Équipe Bravo,Après-midi,0.898,72.37,1.61
2024-01-05,Casablanca,Ligne A320,Cadre structure,OF-2025-010209,71,69,2,50.74,5,7,En retard,Défaut assemblage,Mineure,676.94,Équipe Bravo,Après-midi,0.8935,69.25,2.02
2024-01-05,Rochefort,Ligne A330,Plancher cabine,OF-2024-005262,62,60,2,34.35,3,3,À l'heure,Retouche peinture,Majeure,1153.18,Équipe Alpha,Matin,0.995,73.67,2.86
2024-01-05,Casablanca,Ligne Assemblage Cabine,Sous-ensemble composite,OF-2025-002637,67,64,3,45.58,5,5,À l'heure,Écart documentaire,Majeure,1477.41,Équipe Charlie,Nuit,0.9866,69.22,2.5
2024-01-05,Casablanca,Ligne A350,Panneau fuselage,OF-2024-001762,63,59,4,,9,8,À l'heure,Non-conformité matière,Mineure,715.68,Équipe Alpha,Matin,0.8726,68.89,2.78
2024-01-05,Rochefort,Ligne A320,Cadre structure,OF-2025-002893,68,60,8,44.36,2,2,À l'heure,Retouche peinture,Critique,3019.57,Équipe Bravo,Nuit,0.9622,69.67,2.74
2024-01-05,Rochefort,Ligne Composite,Plancher cabine,OF-2025-001307,55,52,3,35.94,2,2,À l'heure,Défaut assemblage,Mineure,932.57,Équipe Alpha,Nuit,0.9189,71.87,2.39
2024-01-05,Rochefort,Ligne A350,Plancher cabine,OF-2025-006793,67,67,0,44.34,10,10,À l'heure,Aucune,Aucune,0.0,Équipe Alpha,Après-midi,0.8859,80.79,2.23
2024-01-05,Rochefort,Ligne A330,Sous-ensemble composite,OF-2024-003400,53,53,0,55.04,5,5,À l'heure,Aucune,Aucune,0.0,Équipe Charlie,Après-midi,0.9275,71.91,2.32
2024-01-05,Casablanca,Ligne A330,Cadre structure,OF-2025-005913,62,61,1,40.51,3,2,À l'heure,Défaut dimensionnel,Majeure,706.74,Équipe Delta,Après-midi,0.9856,62.16,2.48
2024-01-05,Casablanca,Ligne A330,Porte avion,OF-2025-011127,73,71,2,39.17,2,1,À l'heure,Défaut dimensionnel,Mineure,789.4,Équipe Charlie,Après-midi,0.9031,72.16,3.16
2024-01-05,Casablanca,Ligne A350,Sous-ensemble composite,OF-2024-005238,71,64,7,60.16,7,7,À l'heure,Contrôle qualité bloquant,Majeure,2335.17,Équipe Charlie,Après-midi,0.9059,66.37,2.77
2024-01-05,Casablanca,Ligne Composite,Porte avion,OF-2025-004761,62,55,7,86.09,2,2,À l'heure,Contrôle qualité bloquant,Majeure,2222.23,Équipe Charlie,Matin,0.9158,73.49,1.82
2024-01-05,Casablanca,Ligne A320,Panneau fuselage,OF-2025-005077,67,61,6,45.24,8,8,À l'heure,Défaut dimensionnel,Mineure,1941.57,Équipe Bravo,Matin,0.8914,73.26,1.88
2024-01-06,Montoir-de-Bretagne,Ligne A330,Porte avion,OF-2024-006114,50,47,3,53.06,3,2,À l'heure,Retouche peinture,Mineure,896.14,Équipe Alpha,Matin,0.9124,69.75,1.96
2024-01-06,Montoir-de-Bretagne,Ligne A320,Plancher cabine,OF-2025-004783,39,37,2,46.18,10,9,À l'heure,Défaut dimensionnel,Mineure,692.06,Équipe Delta,Matin,0.9791,82.67,1.88
2024-01-06,Casablanca,Ligne Assemblage Cabine,Plancher cabine,OF-2025-000033,74,69,5,31.2,2,2,À l'heure,Non-conformité matière,Majeure,1923.55,Équipe Alpha,Nuit,0.9254,65.75,2.6
2024-01-06,Casablanca,Ligne Composite,Porte avion,OF-2025-009247,62,60,2,88.94,4,5,En retard,Écart documentaire,Majeure,975.18,Équipe Delta,Matin,0.9009,80.32,2.19
2024-01-06,Casablanca,Ligne A320,Porte avion,OF-2025-002865,52,47,5,55.34,11,16,En retard,Retouche peinture,Critique,2751.99,Équipe Charlie,Nuit,0.9283,67.18,1.82
2024-01-06,Casablanca,Ligne Assemblage Cabine,Panneau fuselage,OF-2025-004845,76,67,9,34.65,5,5,À l'heure,Défaut assemblage,Majeure,3878.75,Équipe Bravo,Matin,0.8939,62.65,3.87
2024-01-06,Casablanca,Ligne A320,Panneau fuselage,OF-2024-007084,66,64,2,44.27,5,5,À l'heure,Non-conformité matière,Majeure,986.02,Équipe Delta,Après-midi,0.8637,70.82,2.37
2024-01-06,Casablanca,Ligne A350,Cadre structure,OF-2025-006361,72,68,4,49.81,3,3,À l'heure,Panne machine,Majeure,1808.65,Équipe Charlie,Matin,0.7627,69.89,3.13
2024-01-06,Rochefort,Ligne A350,Sous-ensemble composite,OF-2024-004290,69,62,7,72.66,11,17,En retard,Défaut assemblage,Majeure,2030.33,Équipe Alpha,Nuit,0.9601,71.85,1.74
2024-01-06,Casablanca,Ligne A330,Porte avion,OF-2025-004793,78,73,5,60.68,4,9,En retard,Défaut dimensionnel,Mineure,1312.96,Équipe Charlie,Après-midi,0.874,69.72,2.99
2024-01-06,Casablanca,Ligne A350,Panneau fuselage,OF-2025-005573,51,49,2,69.96,7,10,En retard,Défaut assemblage,Mineure,760.47,Équipe Alpha,Nuit,0.887,73.94,2.67
2024-01-06,Rochefort,Ligne Composite,Panneau fuselage,OF-2025-005337,53,52,1,57.81,3,3,À l'heure,Contrôle qualité bloquant,Majeure,741.65,Équipe Alpha,Matin,0.9185,66.51,2.22
2024-01-06,Casablanca,Ligne Assemblage Cabine,Plancher cabine,OF-2024-006338,56,55,1,35.62,7,13,En retard,Non-conformité matière,Mineure,402.75,Équipe Delta,Nuit,0.8851,65.0,2.87
2024-01-06,Casablanca,Ligne A330,Panneau fuselage,OF-2025-004291,66,61,5,68.51,9,8,À l'heure,Non-conformité matière,Mineure,1780.19,Équipe Alpha,Nuit,0.9182,66.78,2.81
2024-01-06,Montoir-de-Bretagne,Ligne A320,Plancher cabine,OF-2024-001130,83,82,1,24.22,9,9,À l'heure,Panne machine,Majeure,748.45,Équipe Alpha,Matin,0.8283,70.75,2.85
2024-01-06,Casablanca,Ligne Composite,Panneau fuselage,OF-2025-006399,71,61,10,61.43,10,9,À l'heure,Défaut assemblage,Mineure,2779.01,Équipe Charlie,Après-midi,0.9176,67.38,2.32
2024-01-06,Rochefort,Ligne Composite,Panneau fuselage,OF-2024-007632,55,54,1,67.33,8,9,En retard,Non-conformité matière,Majeure,807.9,Équipe Charlie,Matin,0.9399,69.13,2.09
2024-01-06,Casablanca,Ligne A350,Cadre structure,OF-2025-011029,58,55,3,61.43,4,10,En retard,Retouche peinture,Majeure,1026.89,Équipe Charlie,Après-midi,0.8898,62.12,1.48
2024-01-06,Montoir-de-Bretagne,Ligne A330,Plancher cabine,OF-2025-005297,45,43,2,38.84,2,2,À l'heure,Contrôle qualité bloquant,Critique,1639.85,Équipe Alpha,Nuit,0.9324,75.74,2.53
2024-01-06,Casablanca,Ligne A320,Panneau fuselage,OF-2025-000069,74,73,1,46.47,10,10,À l'heure,Panne machine,Majeure,703.33,Équipe Charlie,Matin,0.8488,61.84,3.6
2024-01-07,Casablanca,Ligne A330,Panneau fuselage,OF-2024-011360,60,52,8,64.67,9,9,À l'heure,Écart documentaire,Mineure,2230.19,Équipe Charlie,Nuit,0.8613,76.73,2.95
2024-01-07,Casablanca,Ligne A330,Porte avion,OF-2025-007089,71,68,3,69.97,11,11,À l'heure,Défaut assemblage,Majeure,1397.02,Équipe Bravo,Nuit,0.9308,57.47,1.74
2024-01-07,Montoir-de-Bretagne,Ligne Assemblage Cabine,Plancher cabine,OF-2025-011937,45,41,4,39.36,11,11,À l'heure,Écart documentaire,Mineure,1503.84,Équipe Bravo,Matin,0.9311,73.46,2.09
2024-01-07,Casablanca,Ligne A320,Cadre structure,OF-2024-003940,63,56,7,62.35,11,10,À l'heure,Défaut dimensionnel,Mineure,2531.57,Équipe Alpha,Nuit,0.8807,61.47,3.31
2024-01-07,Rochefort,Ligne Assemblage Cabine,Sous-ensemble composite,OF-2025-008177,59,54,5,48.27,9,9,À l'heure,Non-conformité matière,Mineure,1935.86,Équipe Delta,Après-midi,0.9162,78.55,1.7
2024-01-07,Casablanca,Ligne A350,Panneau fuselage,OF-2025-009809,57,50,7,55.87,4,4,À l'heure,Retouche peinture,Majeure,3269.6,Équipe Delta,Après-midi,0.9273,78.87,2.84
2024-01-07,Casablanca,Ligne Assemblage Cabine,Plancher cabine,OF-2024-002072,53,49,4,38.28,9,9,À l'heure,Défaut assemblage,Majeure,1788.67,Équipe Delta,Matin,0.9351,66.97,1.89
2024-01-07,Casablanca,Ligne A350,Cadre structure,OF-2024-010078,58,55,3,53.95,6,12,En retard,Retouche peinture,Critique,2043.26,Équipe Charlie,Après-midi,0.9246,72.76,2.44
2024-01-07,Casablanca,Ligne A350,Panneau fuselage,OF-2024-008390,71,68,3,71.02,3,3,À l'heure,Contrôle qualité bloquant,Critique,2021.06,Équipe Charlie,Après-midi,0.881,68.91,2.03
2024-01-07,Casablanca,Ligne A320,Plancher cabine,OF-2024-011200,76,71,5,29.75,9,14,En retard,Retouche peinture,Mineure,2082.07,Équipe Charlie,Matin,0.8909,70.63,2.71
2024-01-07,Casablanca,Ligne A320,Cadre structure,OF-2025-008003,72,71,1,33.21,3,3,À l'heure,Défaut assemblage,Mineure,450.49,Équipe Bravo,Après-midi,0.8729,68.22,1.92
2024-01-07,Montoir-de-Bretagne,Ligne A350,Plancher cabine,OF-2024-008008,59,55,4,48.68,7,11,En retard,Défaut assemblage,Mineure,1110.75,Équipe Charlie,Après-midi,0.912,75.81,2.44
2024-01-08,Casablanca,Ligne Composite,Sous-ensemble composite,OF-2025-008917,70,62,8,77.0,4,4,À l'heure,Non-conformité matière,Critique,3145.96,Équipe Delta,Après-midi,0.9674,67.35,2.96
2024-01-08,Casablanca,Ligne Composite,Cadre structure,OF-2025-002217,63,61,2,61.86,11,12,En retard,Retouche peinture,Mineure,794.25,Équipe Alpha,Matin,0.8873,67.33,3.0
2024-01-08,Casablanca,Ligne A330,Sous-ensemble composite,OF-2024-001898,54,52,2,62.72,2,3,En retard,Écart documentaire,Majeure,852.66,Équipe Alpha,Nuit,0.995,67.89,2.18
2024-01-08,Montoir-de-Bretagne,Ligne A320,Panneau fuselage,OF-2025-001759,54,52,2,53.32,5,4,À l'heure,Défaut dimensionnel,Mineure,595.88,Équipe Charlie,Matin,0.9111,73.05,2.5
2024-01-08,Casablanca,Ligne A320,Sous-ensemble composite,OF-2025-011705,67,61,6,70.64,10,10,À l'heure,Écart documentaire,Mineure,2167.34,Équipe Delta,Matin,0.9071,65.53,3.05
2024-01-08,Casablanca,Ligne A320,Panneau fuselage,OF-2024-001484,62,60,2,51.86,4,4,À l'heure,Défaut dimensionnel,Mineure,707.43,Équipe Delta,Matin,0.8913,74.06,2.25
2024-01-08,Casablanca,Ligne A330,Porte avion,OF-2025-006417,74,66,8,60.7,5,4,À l'heure,Contrôle qualité bloquant,Critique,3672.52,Équipe Delta,Matin,0.8998,64.49,2.18
2024-01-08,Rochefort,Ligne A330,Cadre structure,OF-2024-004406,63,58,5,49.86,9,13,En retard,Défaut assemblage,Mineure,1711.61,Équipe Delta,Matin,0.9053,60.29,2.33
2024-01-08,Casablanca,Ligne A330,Cadre structure,OF-2025-000195,74,72,2,42.89,2,3,En retard,Retouche peinture,Mineure,670.82,Équipe Delta,Nuit,0.8409,80.12,2.78
2024-01-08,Casablanca,Ligne A320,Sous-ensemble composite,OF-2024-005482,73,71,2,66.52,5,9,En retard,Défaut dimensionnel,Mineure,553.47,Équipe Charlie,Matin,0.8973,56.59,2.76
2024-01-08,Rochefort,Ligne A330,Panneau fuselage,OF-2024-005610,67,62,5,47.97,5,4,À l'heure,Contrôle qualité bloquant,Majeure,1956.46,Équipe Charlie,Après-midi,0.9405,61.42,2.36
2024-01-08,Rochefort,Ligne A320,Panneau fuselage,OF-2024-007552,76,71,5,48.95,5,7,En retard,Défaut assemblage,Majeure,1996.02,Équipe Charlie,Matin,0.8655,58.86,3.21
2024-01-08,Casablanca,Ligne A320,Panneau fuselage,OF-2024-009554,56,54,2,42.23,11,11,À l'heure,Panne machine,Critique,1762.97,Équipe Charlie,Après-midi,0.8797,76.04,3.53
2024-01-08,Montoir-de-Bretagne,Ligne A350,Porte avion,OF-2025-000591,63,61,2,56.48,2,2,À l'heure,Écart documentaire,Mineure,682.36,Équipe Bravo,Matin,0.9142,69.21,1.54
2024-01-08,Montoir-de-Bretagne,Ligne Assemblage Cabine,Plancher cabine,OF-2024-002600,64,61,3,31.82,8,12,En retard,Écart documentaire,Majeure,1448.68,Équipe Charlie,Après-midi,0.9594,54.5,2.43
